,0,1,2,3,4,5,6,7,8,9,10
0,-1.1259003,-4.8469157,-0.2111206,4.8293705,-2.5173128,-3.9178145,3.594016,-3.0760617,2.4838738,0.6339836,10.894599
1,2.6877794,2.1990232,3.933711,-0.79257584,2.6517987,-3.226738,-4.8515487,-1.8777943,0.39354086,1.411583,2.4458969
2,4.990407,-4.1768227,3.0490665,-3.4556437,2.8685293,-1.9111104,-2.8633046,3.5999975,-3.5595875,-4.879641,2.5520945
3,-3.2888615,-1.7600079,-4.439447,-0.8450103,1.911313,-0.122810364,3.2999573,-4.582302,1.725874,4.8227854,6.553192
4,3.9870176,-3.663959,0.34182453,-3.4698458,3.6096897,1.1573977,4.2871895,-1.9830751,-3.1886082,-1.9915671,1.0970106
5,-3.300777,1.4373517,2.9613428,1.3127923,-1.8343556,-4.061272,2.4505954,-4.0282993,-0.4177022,1.8367729,2.8878334
6,2.0561647,-3.0745869,3.6335602,3.9959497,-4.168205,0.32663584,1.396194,-1.8693209,1.5019755,4.9914436,10.575453
7,4.299741,-1.0049415,0.6692357,-3.889336,-0.58387995,-4.4839153,-3.9592528,1.1416721,1.0918169,-4.6557245,11.266427
8,4.851921,-0.34548855,2.618423,-4.204285,-3.181601,-3.739285,-0.4220891,4.817932,2.2302456,-3.987354,4.9732447
9,-0.3850026,-2.6478977,2.6366382,-4.9800973,3.245658,-2.6669884,3.8450823,0.49556446,1.3730407,-0.7853837,4.8092823
10,-1.0095806,-0.59268,0.9613681,-3.6472547,4.1902847,-1.6721094,4.642455,-3.9809132,-2.4053216,-1.4822531,10.77113
11,-3.1409514,-0.8835802,-2.1172886,-4.0362034,3.2530298,-4.1871305,-1.7808204,1.3616447,1.3101873,2.6225014,4.3472357
12,-2.8998928,3.0781708,-0.98494244,-2.3431878,4.6096973,-2.270183,4.734975,-3.39427,4.0620937,-1.8094766,5.217291
13,0.9522867,-2.8261285,-3.333155,-1.845973,1.6633577,4.884267,4.834465,-3.710043,-1.8189435,3.4300413,1.8011904
14,3.0512476,-0.24278402,1.6947107,-0.4465766,-2.3175383,2.7700062,4.810115,-1.8590279,3.8839111,4.9232473,4.329003
15,-0.57732534,-1.499219,-4.6897154,-4.609099,-0.010500908,-0.14041948,4.2347918,-4.0960226,4.7538557,1.7188764,13.627734
16,4.9722958,-2.5684738,0.67001295,-2.604845,0.6662607,-0.17680836,1.7252965,-4.324184,4.567835,0.112567425,8.453516
17,4.697624,4.322159,3.1192932,-2.3499222,-1.7287164,-2.3363507,2.215435,-1.373682,0.9751897,4.828599,4.325532
18,-4.8629136,0.9820466,-4.4967103,-4.005598,-0.16327286,-0.24789381,-0.83810854,3.6715536,1.7233715,-3.771264,1.4000812
19,-0.77161694,0.5716505,-3.8126678,3.2376251,-3.9961576,-3.0428095,-4.487505,-4.991019,0.7660389,-3.1909804,3.7972708
20,2.9812956,1.3731947,-1.0039508,-1.4805722,3.8081188,-2.2373462,-1.6990304,-3.1738906,-0.055196762,1.4527941,3.0743628
21,1.3919573,-0.68599176,0.63550997,-0.82704306,-0.6257005,-0.28704262,1.4439197,-0.01850319,2.3286815,0.35192728,6.257904
22,3.5302486,-2.5001776,-4.6757936,-3.9198847,-1.940897,-0.3912263,-4.3223147,3.1590319,1.0429764,4.9570713,2.0877218
23,1.7340093,0.3595457,-4.0862694,-1.2861748,1.6612186,-0.3815136,-0.2322669,4.174347,-0.6972356,4.1940136,4.529766
24,-1.155982,0.86458683,3.4113007,-4.710879,2.2549572,0.36541176,0.40210915,0.9775777,0.7362318,0.58095026,0.9449115
25,1.8976011,-0.50973654,3.771247,2.6183438,0.36589527,0.76148415,0.23010683,-2.5847297,4.82732,0.21274853,7.011071
26,4.0436707,-4.713278,-4.290592,-4.691837,-3.788476,-3.9413958,4.942995,3.6659822,-3.3589787,2.1142035,17.698149
27,-1.6019468,-1.5936308,2.6286469,4.6348495,-0.38464928,2.2895117,4.4084463,-3.2190096,-4.0900083,-2.9286551,3.14112
28,-2.6174688,-4.3393183,0.18975353,-4.3025613,-0.77128506,-4.1553154,-2.7180223,4.2133493,-4.7624536,2.3162642,2.2192364
29,3.5705566,-0.596869,0.3834324,-2.3088598,0.461174,0.14380503,0.56875277,0.09300947,-2.230568,1.6638141,2.6209795
30,-1.2167788,-4.487298,-4.2670555,0.67170095,0.07617664,-4.1947465,0.18104792,1.124299,-0.31299686,-4.294223,8.800379
31,2.1287942,-1.1219609,1.8503466,-2.3858042,-3.4484034,4.109049,3.7925396,-0.9461107,-2.9901361,2.649766,0.544906
32,-3.2948523,4.393361,-3.2215059,-0.9461427,-2.7562494,-0.18707657,-0.58132553,-3.0378122,-1.9061315,2.4533606,2.5894794
33,2.1067328,-3.3187013,-4.5573645,0.033060074,-0.48030615,0.70468473,-4.023166,-1.9763553,-0.7530031,-1.8792582,3.846565
34,2.156362,-2.5337,-1.2321675,3.326395,2.2789316,-2.27174,-0.889451,-4.1935797,-1.3915122,-1.807363,7.3003397
35,1.439641,3.273284,-2.4920642,-2.66073,2.8452978,-4.7336364,2.648838,-3.066249,-4.0878963,1.6501741,3.740158
36,3.160923,-1.7564111,3.7947931,-1.4663811,-3.1985874,0.7712035,0.74116945,4.426235,1.6557589,1.5086508,5.710068
37,-3.4338844,-4.4520025,-1.8556893,3.3251915,1.4714141,-2.2908192,3.8262262,3.405408,1.9733572,-4.6953335,1.2219903
38,-1.335154,-4.1210155,1.6093102,-3.650679,-2.0103383,-4.3172765,1.7933197,-3.783902,-4.9414115,0.4388628,8.317612
39,-4.016222,0.40422153,-4.83645,0.19467592,-0.53282166,-4.9529266,-0.3932886,3.5814953,3.8070688,-2.373529,1.8811326
40,1.8371105,-1.9336808,-4.587727,-3.9398718,-2.229122,0.14687443,4.1201086,-2.9030795,1.4768171,-1.4701276,15.250533
41,-0.7828002,-0.76338387,3.983652,-3.8168526,4.545086,-2.3989458,0.6536441,-2.7897959,1.3143444,0.6731291,3.7798886
42,2.2472754,2.015542,-0.012804985,3.9398746,-3.6839175,1.9637423,4.087702,-1.5372415,1.7092347,-3.958189,1.1698186
